rating,label,review_text_limpo
3.0,neutro,"usei, provei cheiro nao fixou. possivel, após uso, farei nova avaliação. (1) lucas s."
3.0,neutro,"fragrância agradável, bom dia. fixação baixa, volátil. (1) alexandra z."
5.0,bom,ótimo perfume! super recomendo
1.0,negativo,"compra facilitada, preço acessível, entrga prazo impossível avaliar produto. performance alguma. marco p."
3.0,neutro,adocicado. marcelo f.
3.0,neutro,comprei 200ml decepção. fixação zero. (1) (8) josué s.
3.0,neutro,"bem parecido le male, fixação aproximadamente 3 4 horas. ricardo c."
3.0,neutro,comprei cheiro concentrado alex d.
5.0,bom,"perfume perfeito! cheiro incrível, fixação ótima! leve, elegante, tudo medida."
5.0,bom,peefume maravilhoso.
5.0,bom,simplesmente maravilhoso!!!
3.0,neutro,perfume cheiro forte ! pouca fixação. nao q esperava filipe s.
2.0,negativo,"- veio bem embalado - chegou antes data prevista - perfume deixa impacto muitos falam deixa. - cheiro normal nada extraordinário - comprei comentários, arrependi."
5.0,bom,"ótimo perfume, bom, comprei primeira vez,recomendo."
3.0,neutro,"aroma diferente parfum, fixação fraca, nao vale pena preço pago."
1.0,negativo,fixa projeta nada. dura pele 20 min!!! recomendo.
5.0,bom,"bom, realmente queria, chegou super rapido!"
1.0,negativo,"comprei 200ml. fixação zero. decepção total! pensei pudesse pele, é. final fixação longa. (3) (6) walef g."
1.0,negativo,gostei. fixação fraca essencia enjoativa. thiago c.
1.0,negativo,"entregaram rápido, perfume cheiro vô, extremamente atacado. comprei esposo, dei pai. (1) fernanda c."
3.0,neutro,"quis ter perfume amo cheiro ouvia falar bem fixação. entretanto, ouvi reformulações diminuindo fator fragrância, agora posso confirmar isso. perfume fixa pouquíssimo, menos mim. mal sinto cheiro 30 minutos aplicação. decepcionante! cheiro - 8/10 performance - 5/10 weslley g."
1.0,negativo,"gostei, baixa projeção tempo fixação. alan s."
1.0,negativo,"gente vou falar muita tristeza perfume, tão ansiosa presente aniversário esposo, decepcionei muito, assim esposo, cheiro nós, horrível , lembra zoeira tabu, site: nada, absolutamente nada reclamar; beleza web sombra dúvidas melhor site compra área cosméticos; enfim perfume, desculpem deixou super desejar (2) (1) telma r."
3.0,neutro,"bom dia!! comprei repor, adquirido, projeta fixa anterior pele!! sei porquê!!"
3.0,neutro,gosto dia dia wérik l.
5.0,bom,bom produto
3.0,neutro,"relação fragrância perfume, excelente. entanto, fixador grande coisa. utilizá-lo, percebi que, 30 40 minutos, quase nota perfume relação hora aplicação. usando perfume pontos (locais) chaves, atrás orelha, lado pulso, etc, fica tempo. sei tipo pele, acredito dada atenção maior fixador!"
4.0,bom,"chegou rápido, três dias úteis.. inicialmente bem cheiroso usei pouquinho pra sentir cheiro.. usar pra sair pra avaliar performance.. chegou certinho bem embalado."
1.0,negativo,fragrância fraca nenhuma fixação.
1.0,negativo,"comprei 200ml. fixação zero! pensei pudesse pele, acabando excelente fixação. decepção total! (4) (9) marco p."
3.0,neutro,"comprei pra namorado cheiro bom, fixação pele durou nicodemos a."
2.0,negativo,fixa projeta nada. dura pele 20 min!!! recomendo
3.0,neutro,agradável projeção mediana fabiana s.
5.0,bom,"produto entregue prazo combinado, excelente qualidade."
3.0,neutro,perfume aparentemente falso. marcelo s.
5.0,bom,"perfume cheiroso fixação boa, vezes fixação boa,acho q mudei estado,hj moro espírito santo, antes morava paulo moro faz calor, acho q perfume calor cheiroso"
3.0,neutro,dia dia bom wagner o.
2.0,negativo,"perfume personalidade, reduzidíssimo tempo performance, baixa fixação caro oferece."
2.0,negativo,ruim cheiro
3.0,neutro,"produto cheiroso , dura tempo , fraco (3) valdir s."
5.0,bom,maravilhoso
5.0,bom,perfume excelente!!
1.0,negativo,"comprei escuro base avaliações, infelizmente gostei. doce, chegou dar dor cabeça. primeiro momento perfume bem ruim, passar tempo ficar pior rs, possui nota artificial consegui identificar. (2) jorge a."
1.0,negativo,"fixação péssima, dura 5 minutos. suporte plataforma péssimo, primeira última vez compro algo nessa plataforma."
5.0,bom,"excelente perfume. comprei escuro, avaliações, arrependi. usando verão - projeção moderada fixação 4 horas. espero dias frios fixação aproxime resenhas avaliações."
