rating,label,review_text_limpo
1.0,negativo,perfume péssimo fixação cheiro nenhum. cheira. álcool. usarei cheira álcool.
5.0,bom,top
1.0,negativo,pior água xuxu.
5.0,bom,excelente!
1.0,negativo,péssimo
3.0,neutro,"olá! fragrância agradável, infelizmente exatamente esperava. pena! primeira vez, superou expectativa."
3.0,neutro,"cheiro agradável, fixador fraco."
3.0,neutro,"embora fragrância cheirosa, tempo fixação deixou desejar, chegando durar 3 horas pele, levou duvidar originalidade produto."
3.0,neutro,"perfume cheiro, pega projeção fixação."
1.0,negativo,fraco nao fixa cheiro
5.0,bom,chegou tudo certo! deu presente aniversario namorado! adorou kkkkk ótimo perfume usar noite
5.0,bom,"comprei perfume original dar presente fiquei impressionada qualidade. fragrância marcante, sofisticada agradável, ótima fixação projeção. tipo presente transmite cuidado bom gosto. além perfume maravilhoso, vem bem apresentado, torna experiência especial."
